rowid,user,ts,ts converted,new ts,,channel,text,agreeableness,conscientiousness,extraversion,openness,adventurer,advocate,architect,campaigner,commander,consul,debater,defender,entertainer,entrepreneur,executive,logician,logistician,mediator,protagonist,virtuoso,anger,fear,joy,sadness,surprise,final_sentiment
0,U0WDYEG6S,30/03/2016 5:19,31/03/2016 3:06,31/03/2016 3:06,21,General,duhita joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
1,U0WDYEG6S,30/03/2016 5:19,31/03/2016 3:06,31/03/2016 3:06,21,General,duhita joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
2,U0WDYEG6S,30/03/2016 6:03,31/03/2016 3:51,31/03/2016 3:51,21,General,added integration Happy share jira,0.209332845,0.450870568,0.468463156,0.681537859,0.011039663,0.016467611,0.117926816,0.027558564,0.112785788,0.006034113,0.197350643,0.006309162,0.010558388,0.075610061,0.04321111,0.206346326,0.045180769,0.028814745,0.015749705,0.079056536,0.017880952,0.031574711,0.388510436,0.05449488,0.507539034,0.960397542
3,U0WEAA087,30/03/2016 6:04,31/03/2016 3:52,31/03/2016 3:52,21,General,jared joined,0.528911239,0.23083494,0.87034073,0.592885269,0.000120271,1.64E-05,1.31E-05,0.243674633,0.026687392,0.033438715,0.195176022,1.64E-05,0.244551258,0.195878171,0.026783401,9.60E-05,1.32E-05,0.000119839,0.03331885,9.63E-05,0.175896928,0.225330144,0.239408076,0.17890507,0.180459797,0.720957935
4,U0WEAA087,30/03/2016 6:04,31/03/2016 3:52,31/03/2016 3:52,21,General,jared joined,0.528911239,0.23083494,0.87034073,0.592885269,0.000120271,1.64E-05,1.31E-05,0.243674633,0.026687392,0.033438715,0.195176022,1.64E-05,0.244551258,0.195878171,0.026783401,9.60E-05,1.32E-05,0.000119839,0.03331885,9.63E-05,0.175896928,0.225330144,0.239408076,0.17890507,0.180459797,0.720957935
5,U0WDYEG6S,30/03/2016 6:42,31/03/2016 4:29,31/03/2016 4:29,21,General,hi jared,0.64763264,0.153216521,0.913876847,0.728594276,2.50E-06,4.75E-07,2.06E-07,0.436171214,0.016831528,0.018217712,0.188938015,2.23E-07,0.204498268,0.088583326,0.007891439,2.31E-06,9.64E-08,5.33E-06,0.038856279,1.08E-06,0.188341975,0.240829676,0.201689869,0.211226642,0.157911852,0.734419823
6,U0WEAA087,30/03/2016 6:47,31/03/2016 4:35,31/03/2016 4:35,21,General,hey hey finally running,0.4854212,0.414287406,0.568140289,0.495855449,0.078173815,0.030766507,0.030380572,0.083586276,0.04283049,0.057189819,0.082537768,0.040565947,0.110209341,0.108826873,0.056472428,0.058545783,0.040057088,0.059289512,0.043374581,0.077193201,0.030948684,0.067216896,0.39751932,0.03321157,0.471103519,0.833500624
7,U0WDYEG6S,30/03/2016 6:48,31/03/2016 4:36,31/03/2016 4:36,21,General,yep simple smile,0.77586207,0.492980042,0.51428801,0.273447386,0.203760546,0.034974841,0.004230078,0.031456305,0.003728994,0.176057638,0.003804524,0.199715377,0.179623627,0.021724813,0.021293521,0.004315756,0.024154836,0.035683245,0.030831817,0.024644084,0.034487881,0.06994947,0.708734512,0.040155951,0.146672174,0.972049713
8,U0WDYEG6S,30/03/2016 6:48,31/03/2016 4:36,31/03/2016 4:36,21,General,let wait others connect,0.539403173,0.492615016,0.580426651,0.478122185,0.052151982,0.05008217,0.042152509,0.078549016,0.069652599,0.090790626,0.066112113,0.054944865,0.08617568,0.072531224,0.076415472,0.04000987,0.046245278,0.047536461,0.082755533,0.043894601,0.077464312,0.360275447,0.450525522,0.064697176,0.047037534,0.208904967
9,U0WFHMEM8,30/03/2016 8:35,31/03/2016 6:22,31/03/2016 6:22,21,General,hussam joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
